quarter,asx_allords,cash_rate,cash_rate_chg4q
2006-Q1,,5.5,
2006-Q2,,5.75,
2006-Q3,,6.0,
2006-Q4,,6.25,
2007-Q1,,6.25,0.75
2007-Q2,,6.25,0.5
2007-Q3,,6.5,0.5
2007-Q4,,6.75,0.5
2008-Q1,,7.22,0.97
2008-Q2,,7.25,1.0
2008-Q3,,7.02,0.52
2008-Q4,-38.95,4.35,-2.4
2009-Q1,-33.8,3.25,-3.97
2009-Q2,-15.89,3.0,-4.25
2009-Q3,16.68,3.0,-4.02
2009-Q4,32.17,3.74,-0.61
2010-Q1,29.09,3.98,0.73
2010-Q2,6.07,4.5,1.5
2010-Q3,1.86,4.5,1.5
2010-Q4,5.51,4.75,1.01
2011-Q1,1.35,4.75,0.77
2011-Q2,-0.15,4.75,0.25
2011-Q3,-7.88,4.75,0.25
2011-Q4,-10.81,4.3,-0.45
2012-Q1,-8.81,4.25,-0.5
2012-Q2,-4.69,3.54,-1.21
2012-Q3,4.01,3.5,-1.25
2012-Q4,13.3,3.03,-1.27
2013-Q1,15.7,3.0,-1.25
2013-Q2,17.4,2.75,-0.79
2013-Q3,19.51,2.5,-1.0
2013-Q4,6.2,2.5,-0.53
2014-Q1,5.85,2.5,-0.5
2014-Q2,11.66,2.5,-0.25
2014-Q3,1.56,2.5,0.0
2014-Q4,6.66,2.5,0.0
2015-Q1,5.54,2.25,-0.25
2015-Q2,1.04,2.0,-0.5
2015-Q3,-3.93,2.0,-0.5
2015-Q4,-8.92,2.0,-0.5
2016-Q1,-7.93,2.0,-0.25
2016-Q2,-0.66,1.75,-0.25
2016-Q3,2.15,1.5,-0.5
2016-Q4,12.23,1.5,-0.5
2017-Q1,11.88,1.5,-0.5
2017-Q2,2.3,1.5,-0.25
2017-Q3,10.62,1.5,0.0
2017-Q4,8.31,1.5,0.0
2018-Q1,2.08,1.5,0.0
2018-Q2,10.26,1.5,0.0
2018-Q3,-1.06,1.5,0.0
2018-Q4,-3.4,1.5,0.0
2019-Q1,5.71,1.5,0.0
2019-Q2,8.33,1.28,-0.22
2019-Q3,14.54,1.0,-0.5
2019-Q4,19.94,0.75,-0.75
2020-Q1,-12.79,0.43,-1.07
2020-Q2,-12.16,0.25,-1.03
2020-Q3,-9.44,0.25,-0.75
2020-Q4,-3.51,0.1,-0.65
2021-Q1,30.24,0.1,-0.33
2021-Q2,26.51,0.1,-0.15
2021-Q3,24.55,0.1,-0.15
2021-Q4,5.78,0.1,0.0
2022-Q1,5.95,0.1,0.0
2022-Q2,-6.4,0.73,0.63
2022-Q3,-7.65,2.25,2.15
2022-Q4,5.75,3.05,2.95
2023-Q1,-2.9,3.54,3.44
2023-Q2,6.25,4.05,3.32
2023-Q3,-1.24,4.1,1.85
2023-Q4,2.95,4.35,1.3
2024-Q1,5.75,4.35,0.81
2024-Q2,9.16,4.35,0.3
2024-Q3,20.88,4.35,0.25
2024-Q4,11.08,4.35,0.0
2025-Q1,5.16,4.1,-0.25
2025-Q2,8.16,3.85,-0.5
2025-Q3,8.98,3.6,-0.75
2025-Q4,4.27,3.6,-0.75
2026-Q1,6.55,3.96,-0.14
2026-Q2,1.53,4.35,0.5
