path	domain_tag	asset_type	fill	types
ADDRESS_PID	identity_location		295/300	int
ADDRESS_STANDARD	identity_location		295/300	str
ADDRESS_STATUS	identity_location		295/300	str
DATUM	other		295/300	str
GEOCODE_TYPE	identity_location		295/300	str
LATITUDE	identity_location		295/300	float
LGA_CODE	other		295/300	int
LOCALITY	other		297/300	str
LOCAL_AUTHORITY	other		295/300	str
LONGITUDE	identity_location		295/300	float
LOT	other		295/300	str
LOTPLAN_STATUS	other		295/300	str
PLAN	other		295/300	str
POSTCODE	identity_location		297/300	str
POSTCODE_original_cadastral	identity_location		14/300	str
PROPERTY_NAME	other		295/300	null/str
STREET_NAME	other		295/300	str
STREET_NO_1	other		295/300	str
STREET_NO_1_SUFFIX	other		295/300	null/str
STREET_NO_2	other		295/300	null/str
STREET_NO_2_SUFFIX	other		295/300	null
STREET_SUFFIX	other		295/300	null
STREET_TYPE	other		295/300	str
UNIT_NUMBER	other		295/300	null/str
UNIT_SUFFIX	other		295/300	null
UNIT_TYPE	other		295/300	null/str
_id	identity_location		300/300	ObjectId
address	identity_location		193/300	str
aerial_boundary_at	images_assets	aerial	180/300	str
aerial_boundary_failed	images_assets	aerial	12/300	str
aerial_boundary_scope	images_assets	aerial	22/300	str
aerial_boundary_url	images_assets	aerial	180/300	str
agency	other		9/300	str
agency_name	other		8/300	str
agent_name	listing_scrape		17/300	str
agent_names	listing_scrape		9/300	array[str]
agents_description	listing_scrape		17/300	str
ai_analysis	editorial_ai		7/300	object
ai_analysis.<dynamic>	editorial_ai		2/300	object (26 data keys)/object (28 data keys)
ai_analysis._agent_briefings	editorial_ai		2/300	object
ai_analysis._agent_briefings.market	editorial_ai		2/300	str
ai_analysis._agent_briefings.price	editorial_ai		2/300	str
ai_analysis._agent_briefings.property	editorial_ai		2/300	str
ai_analysis._backfill_data	editorial_ai		2/300	str
ai_analysis._draft1	editorial_ai		2/300	object
ai_analysis._draft1.headline	editorial_ai		2/300	str
ai_analysis._draft1.sub_headline	editorial_ai		2/300	str
ai_analysis._draft1.verdict	editorial_ai		2/300	str
ai_analysis._reflection	editorial_ai		2/300	object
